ID_POSTULANTE,INSTITUCION
BD092E4C850F8B233B7F9B215ABEEEDB,SANTA JUANA DE LESTONNAC
B185E2CA7A91F2DD547D86B1BEE6E897,UPAO
F5D107D87BC13AF5E550A3EC179CE88B,UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS DE ANDAHUAYLAS - APURIMAC
F5D107D87BC13AF5E550A3EC179CE88B,UNIVERSIDAD TECNOLOGICA DE LOS ANDES APURIMAC
BA51345E440FFF9FD4D562FADF6D61E0,
4BC94DE7BAB27A1C3A9CD3BA68199F55,COLEGIO EDUCATIVA ESTATAL BASICA ESPECIAL SURCO
D5C1554637483B3CBCDC048F6352486D,IE SAN LUIS MARÍA DE MONTFORT - LURIGANCHO
5F4DD531BD8C4E4B9D2889A292701772,
4F71A98B0C82D5452B92D7640ED6B2B3,INSTITUTO AVANCYS
8E17CCCC0BDE554C58F7AB0F5305DD88,SENATI
8CD4AA0449CF6EE622B030F3AB7A5F83,SECUNDARIA COMPLETA
86E50D692CF1DE25592DEACB2505D78C,FE Y ALEGRIA
46053A016B63E70653F32A151F93AB8D,NUESTRA SEÑORA DEL CARMEN
46053A016B63E70653F32A151F93AB8D,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO
329B8BF00C303AB7665C8D32724304A7,UNIVERSIDAD  CONTINENTAL
329B8BF00C303AB7665C8D32724304A7,
E278C436C3D07B791E7F3935F22923B7,SAN VICENTE DE PAUL
B3CC50C7ED44C683807258C361F8C181,
2749D1A1DE35D6C826170DCE2F8ACD2C,UNIVERSIDAD SEÑOR DE SIPAN 
097F99D0E092BF46AEF286DD8F9456B5,
1FB95124AC0F9DC2FF845B84B2A44236,"UNIVERSIDAD NACIONAL ""SAN AGUSTIN"" -AREQUIPA"
82A166DA52840F93478E74582F3DFA81,INSTITUTO CAPECO
FE1C6647322269BF19754D83E6CDC59D,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL
FE1C6647322269BF19754D83E6CDC59D,
FE1C6647322269BF19754D83E6CDC59D,
FE1C6647322269BF19754D83E6CDC59D,INSTITUTO RURAL VALLE GRANDE
A67CF4CAF2F0AE94510F4A197EDCA1EA,ABACO
9ACE5A28C84077A2C3BD078BDE0E6A86,INSTITUTO TECNOLÓGICO KHIPU 
4363270ECB342664F582FFF79995AAAE,
26394AEF3548431457492E00AA49F344,SAN JUAN DE PADARI-RINCONADA
5D5DB0B4D8331447ED047C0809FC1EA1,CORONEL BOLOGNESI
B7CD562C784EAAB61D8A9168C98BC112,PUCP
B7CD562C784EAAB61D8A9168C98BC112,
7F5E1C37587557C3CA03B0144DC9C810,
7F5E1C37587557C3CA03B0144DC9C810,JULIOCESAR ESCOBAR
3A6243B55EA9435736C7D89450133BD2,
DE36CDE4C2FE6FA6BEB123C716C40A74,ADVENTISTA
36680D2CC2BD38D6AC40E8C740D2640F,CEBA HIPOLITO UNANUE
9083B413E9C87C1089B25D9768378455,SAN JUAN BAUTISTA
0AA7F042C35DB1DBBF818200DBCC2FB2,COLEGIO 3039 SMP
2137570EFC08D8951DEA8F3BF0F01F1B,I.S.S. SANTA ROSA
2137570EFC08D8951DEA8F3BF0F01F1B,C.E.O MICAELA BASTIDAS
71EB2B45C923F5F50786031FCEFB29D5,INSTITUTO JUAN VELASCO ALVARADO
32BA85E86DECDE970C31C15F99E38F12,IE ANTENOR ORREGO ESPINOZA
B945A3FD438DC13E381C1267CA74547F,UNIVERSIDAD ENRIQUE GUZMAN Y VALLE
33F5B3EECB29C8A41F5FCD4F31DAB12D,CADETEL
5CB1C20C3622B30E101F9E160989871C,JOSE ARNALDO SABOGAL
66B454F655948A4AB201C44E4081F072,INSTITUTO SUPERIOR TECNOLOGICO SANTIAGO DE MONTERRICO- SIDEM
66B454F655948A4AB201C44E4081F072,
66B454F655948A4AB201C44E4081F072,
66B454F655948A4AB201C44E4081F072,
66B454F655948A4AB201C44E4081F072,
A5DCF1D903CB62A1E414FE0F6CDA3C6A,
7E9B362FB60EB028DCEA5A93515D0534,INSTITUTO LAS AMERICAS
260658A06AB7EB6EAE95E4032AA6B258,
581F5EA35CC43025EE218E6D003F7178,
21225322DC0A3FB1D1852C8EA1146447,FELIX Y CAROLINA DE REPETTI
DB51BEFC024B9DA74B9EE19A6B208F0A,UNT
1EF062BF592693626C0C29CBFDD253B8,ANDRES VELLO
628BBB199C25BFE3A6D7C1C2B87343FB,SECUNDARIA COMPLETA
94A503CD735265AB8E893E244B3B89CD,SIMON BOLIVAR
30B85A666E1FD00BA2A35C2FE8EB0DF9,INSTITUTO DANIEL A. CARRIÓN
FFB45E91041258FC97B6E11D4450F66C,
706FDE6519A42F74839A82044634224D,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA – TINGO MARÍA
A064237242BBF6D2CA6177AD9AF8E734,UNSAAC
A064237242BBF6D2CA6177AD9AF8E734,
44089677642C92E51258ED42E69F34AF,
71C0FA7A6889612A7FF2685035E36DBD,MANUEL GONZALES PRADA 
25FD70388ECD62891DBC74CDB0F8AE74,UNIVERSIDAD PRIVADA SAN PEDRO
91D75BEF171C03CAFD28CB38892047CA,GARCILASO DE LA VEGA
A143D6820C2B3663272143FF4CA2F830,COLEGIO DE EDUCACION ESPECIAL SANTA ROSA
C60093E07246AE069DD43C0090420519,IE SAN SILVESTRE HIGH SCHOOL
ABE7D7ADB96C1A725AE777B79FEE5AAA,ICPNA
38ECDB9BD25DB82B42CA78D2FE53C9E9,UNIVERSIDAD NACIONAL DE SAN LUIS GONZAGA DE ICA
DDA5E65A9D33778F65F226B51CEA4B60,
98BB4878003DED6A0656F30B5FE429CD,UTP
9403EF2ECD165193A3F468505790F792,INSTITUTO CARRIÒN
9403EF2ECD165193A3F468505790F792,INSTITUTO MANUEL AREVALO CACERES
F7A5C4CD4A42CCFA1C5B10B978B41B3C,IE KARL WEISS - CHICLAYO
8AF6A382497AA81B5F26FC0B2311AFF8,NUESTRA SEÑORA DE LA SOLEDAD
719A1B1ED8F30EDA3C7DFA877935DEA2,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA 
186BDF5B3DC3F5DD193D3240082DDD1E,IE 2002 MARISCAL RAMON CASTILLA
6936A79B893400647ED8D4D2815748D4,CE PABLO PATRON
FB783FFFE33DC61CB649F7629B616BC2,
9355F9F3447E21D8783015AFB9DE9A02,INSTITUTO DE FORMACIÓN Y ASESORAMIENTO PROFESIONAL INFAP NOTRE DAME
D90851571AB4F046235D9157EFD7E6F8,
BE24EF47E0A5B37543B49B5E05DAD0E3,
BE24EF47E0A5B37543B49B5E05DAD0E3,
DD0C5B700CF5C1D3418F129411ABC0EA,HOLANDA PERÚ 08
A75D45869E38E23C0C52F7D38CB14E7F,I.E. 3084 ENRIQUE GUZMÁN Y VALLE
CD1DE4C8428AA05A3114937FD81CB4D4,FELIX Y CAROLINA DE REPETTY
18BC858F5659A750B25FAA787A5494DD,I.E ESPECIAL 
128A4544506A25E2E4586E386A58F11B,I. S. T. PUBLICO SAN MARCOS
34C7CA6295786F6F3B707CC84C86036B,COLEGIO FE Y ALEGRIA N° 01
C5B30187CB4FDA76AC9E418EC9F7AE42,SENATI
7A7104AF2958D7501C05809DF7944FC8,INSTITUTO CLINICA RICARDO PALMA
B1DC4EFC39A9DE9AB0573876CA8E6A8E,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA
312610104F7DA24984FDFDE55A3B9265,UNIVERSIDAD FEMENINA EL SAGRADO CORAZÓN
312610104F7DA24984FDFDE55A3B9265,UNIVERSIDAD CONTINENTAL
B70992E6927E670DBB295488387E21F2,UNIVERSIDAD TECNOLOGICO DE LOS ANDES
B70992E6927E670DBB295488387E21F2,
612719F0E080935E6FCA49E6C64565D6,CEN 7061 HEROES DE SAN JUAN
7CCC81417C1845C20931FC95CE28B347,INSTITUTO NACIONAL DEL COMERCIO - CUSCO
552CD45257DC1435C87E311AFC10607F,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
F20166AA1BDE02F6567AEF34AA00D111,DOMINGO SAVIO
D4DEF3937EAD4066AE715E63C32F6498,UNSAAC
41582B51AD2AE942F04BC68FCE71CC6B,UNIVERSIDAD ALAS PERUANAS
7CE42D7FF49FA2DA99D14875ACEDE08F,EFATA IGLESIA BAUTISTA
74F6B6108991B7B1BE922CE7D03FC9E9,
CB7D9DD2E4ED1A51D76F3CA7456D7553,COLEGIO INMACULADA CONCEPCIÓN
9B8B3824BDE55110EAA3C3FBA88F02E9,COOPERATIVE DE AHORRO Y CREDITO LA REHABILITADORA
9B8B3824BDE55110EAA3C3FBA88F02E9,IST COLUMBIA
C41112AEE9241F2D0A2612083EAB808E,SECUNDARIA COMPLETA
94A0C44DBED27B3EE70D16B8C83DC625,DATA SYSTEMS INGENIEROS
CAA08A108FE5A9583AF4C484490B0D4A,
CAA08A108FE5A9583AF4C484490B0D4A,AUXILIAR DE COCINA
A015CE0244B7E0C8872D0805509EF821,FE Y ALEGRÍA 25
5D2CB551B39434D64CD93C1113DD4F29,AMÉRICANO 
47AF8F657A1C6F9EA6DDD115F3D68203,UNIVERSIDAD TECNOLÓGICA DEL PERÚ 
A17E2A74D613A9E75758976EFF02B7B6,""" JESUS EL BUEN PASTOR """
EAE08E6E8D9C578532095811AB28FDBF,JHALEBET
B2F36FA364969DC5416FD0E22EFBE92C,PEDRO CORONADO
C7A3C2DC7090C147D4D807CA78AB77F9,COLEGIO JESÚS DE PRAGA 
8E315707E5131D8AABA73B8F77679832,SAN JUDAS TADEO - HUACHO
